"","station_id","total_rides","average_rank","station_name","station_loc","station_loc_text","Latitude","Longitude"
"1","TA1308000050",43714,5.5,"Wells St & Concord Ln","POINT(-87.634656 41.912133)","41.912133,-87.634656",41.912133,-87.634656
"2","LF-005",47015,6.5,"DuSable Lake Shore Dr & North Blvd","POINT(-87.626804 41.911722)","41.911722,-87.626804",41.911722,-87.626804
"3","KA1504000135",37483,7,"Wells St & Elm St","POINT(-87.634324 41.903222)","41.903222,-87.634324",41.903222,-87.634324
"4","TA1307000039",40827,7,"Clark St & Elm St","POINT(-87.63128 41.902973)","41.902973,-87.63128",41.902973,-87.63128
"5","13022",84618,8.5,"Streeter Dr & Grand Ave","POINT(-87.612043 41.892278)","41.892278,-87.612043000000014",41.892278,-87.612043
"6","TA1307000117",33244,13.5,"Wabash Ave & Grand Ave","POINT(-87.626761 41.891466)","41.891466,-87.626761",41.891466,-87.626761
"7","13146",32636,14,"Clark St & Armitage Ave","POINT(-87.636282 41.918306)","41.918305999999994,-87.636282",41.918306,-87.636282
"8","13179",32721,14.5,"Clark St & Lincoln Ave","POINT(-87.6346 41.915689)","41.915689,-87.6346",41.915689,-87.6346
"9","TA1308000001",35501,15.5,"Theater on the Lake","POINT(-87.630834 41.926277)","41.926277000000006,-87.630834",41.926277,-87.630834
"10","13042",43381,16,"Michigan Ave & Oak St","POINT(-87.62377664 41.90096039)","41.900960390000009,-87.62377664",41.90096039,-87.62377664
"11","13045",31597,16,"Dearborn St & Erie St","POINT(-87.629318 41.893992)","41.893992,-87.629318",41.893992,-87.629318
"12","13137",30542,17.5,"Broadway & Barry Ave","POINT(-87.6440978050232 41.9375823160063)","41.937582316006292,-87.6440978050232",41.9375823160063,-87.6440978050232
"13","TA1306000012",31105,17.5,"Wells St & Huron St","POINT(-87.634362 41.894722)","41.894721999999994,-87.63436200000001",41.894722,-87.634362
"14","TA1307000134",28547,21,"Wilton Ave & Belmont Ave","POINT(-87.65304 41.94018)","41.94018,-87.65304",41.94018,-87.65304
"15","13193",27291,24,"Larrabee St & Webster Ave","POINT(-87.64414 41.921822)","41.921822,-87.64414",41.921822,-87.64414
